cellID	bio_celltype	layer
cell_type3_396	cell_type3	normal
cell_type3_397	cell_type3	disease
cell_type3_398	cell_type3	normal
cell_type3_399	cell_type3	disease
cell_type3_400	cell_type3	disease
cell_type3_401	cell_type3	normal
cell_type3_402	cell_type3	normal
cell_type3_403	cell_type3	normal
cell_type3_404	cell_type3	normal
cell_type3_405	cell_type3	disease
cell_type3_406	cell_type3	disease
cell_type3_407	cell_type3	disease
cell_type3_408	cell_type3	normal
cell_type3_409	cell_type3	disease
cell_type3_410	cell_type3	disease
cell_type3_411	cell_type3	normal
cell_type3_412	cell_type3	normal
cell_type3_413	cell_type3	disease
cell_type3_414	cell_type3	normal
cell_type3_415	cell_type3	normal
cell_type3_416	cell_type3	disease
cell_type3_417	cell_type3	normal
cell_type3_418	cell_type3	disease
cell_type3_419	cell_type3	disease
cell_type3_420	cell_type3	disease
cell_type3_421	cell_type3	disease
cell_type3_422	cell_type3	normal
cell_type3_423	cell_type3	normal
cell_type3_424	cell_type3	disease
cell_type3_425	cell_type3	normal
cell_type3_426	cell_type3	disease
cell_type3_427	cell_type3	disease
cell_type3_428	cell_type3	disease
cell_type3_429	cell_type3	disease
cell_type3_430	cell_type3	normal
cell_type3_431	cell_type3	disease
cell_type3_432	cell_type3	disease
cell_type3_433	cell_type3	disease
cell_type3_434	cell_type3	normal
cell_type3_435	cell_type3	normal
cell_type3_436	cell_type3	disease
cell_type3_437	cell_type3	disease
cell_type3_438	cell_type3	disease
cell_type3_439	cell_type3	disease
cell_type3_440	cell_type3	normal
cell_type3_441	cell_type3	normal
cell_type3_442	cell_type3	disease
cell_type3_443	cell_type3	normal
cell_type3_444	cell_type3	disease
cell_type3_445	cell_type3	disease
cell_type3_446	cell_type3	disease
cell_type3_447	cell_type3	disease
cell_type3_448	cell_type3	disease
cell_type3_449	cell_type3	disease
cell_type3_450	cell_type3	disease
cell_type3_451	cell_type3	disease
cell_type3_452	cell_type3	normal
cell_type3_453	cell_type3	disease
cell_type3_454	cell_type3	normal
cell_type3_455	cell_type3	disease
cell_type3_456	cell_type3	disease
cell_type3_457	cell_type3	disease
cell_type3_458	cell_type3	disease
cell_type3_459	cell_type3	disease
cell_type3_460	cell_type3	disease
cell_type3_461	cell_type3	normal
cell_type3_462	cell_type3	disease
cell_type3_463	cell_type3	disease
cell_type3_464	cell_type3	disease
cell_type3_465	cell_type3	normal
cell_type3_466	cell_type3	disease
cell_type3_467	cell_type3	disease
cell_type3_468	cell_type3	disease
cell_type3_469	cell_type3	disease
cell_type3_470	cell_type3	disease
cell_type3_471	cell_type3	normal
cell_type3_472	cell_type3	disease
cell_type3_473	cell_type3	normal
cell_type3_474	cell_type3	normal
cell_type3_475	cell_type3	disease
cell_type3_476	cell_type3	disease
cell_type3_477	cell_type3	normal
cell_type3_478	cell_type3	disease
cell_type3_479	cell_type3	disease
cell_type3_480	cell_type3	normal
cell_type3_481	cell_type3	disease
cell_type3_482	cell_type3	disease
cell_type3_483	cell_type3	disease
cell_type3_484	cell_type3	disease
cell_type3_485	cell_type3	disease
cell_type3_486	cell_type3	normal
cell_type3_487	cell_type3	disease
cell_type3_488	cell_type3	disease
cell_type3_489	cell_type3	normal
cell_type3_490	cell_type3	normal
cell_type3_491	cell_type3	disease
cell_type3_492	cell_type3	disease
cell_type3_493	cell_type3	normal
cell_type3_494	cell_type3	disease
cell_type3_495	cell_type3	disease
cell_type3_496	cell_type3	disease
cell_type3_497	cell_type3	disease
cell_type3_498	cell_type3	disease
cell_type3_499	cell_type3	disease
cell_type3_500	cell_type3	disease
cell_type3_501	cell_type3	disease
cell_type3_502	cell_type3	disease
cell_type3_503	cell_type3	disease
cell_type3_504	cell_type3	disease
cell_type3_505	cell_type3	normal
cell_type3_506	cell_type3	disease
cell_type3_507	cell_type3	normal
cell_type3_508	cell_type3	disease
cell_type3_509	cell_type3	normal
cell_type3_510	cell_type3	disease
cell_type3_511	cell_type3	disease
cell_type3_512	cell_type3	disease
cell_type3_513	cell_type3	normal
cell_type3_514	cell_type3	normal
cell_type3_515	cell_type3	normal
cell_type3_516	cell_type3	disease
cell_type3_517	cell_type3	disease
cell_type4_1	cell_type4	normal
cell_type4_2	cell_type4	normal
cell_type4_3	cell_type4	normal
cell_type4_4	cell_type4	normal
cell_type4_5	cell_type4	disease
cell_type4_6	cell_type4	normal
cell_type4_7	cell_type4	disease
cell_type4_8	cell_type4	normal
cell_type4_9	cell_type4	disease
cell_type4_10	cell_type4	disease
cell_type4_11	cell_type4	disease
cell_type4_12	cell_type4	disease
cell_type4_13	cell_type4	normal
cell_type4_14	cell_type4	disease
cell_type4_15	cell_type4	normal
cell_type4_16	cell_type4	disease
cell_type4_17	cell_type4	disease
cell_type4_18	cell_type4	normal
cell_type4_19	cell_type4	disease
cell_type4_20	cell_type4	disease
cell_type4_21	cell_type4	disease
cell_type4_22	cell_type4	disease
cell_type4_23	cell_type4	disease
cell_type4_24	cell_type4	disease
cell_type4_25	cell_type4	disease
cell_type4_26	cell_type4	normal
cell_type4_27	cell_type4	normal
cell_type4_28	cell_type4	disease
cell_type4_29	cell_type4	disease
cell_type4_30	cell_type4	disease
cell_type4_31	cell_type4	disease
cell_type4_32	cell_type4	disease
cell_type4_33	cell_type4	disease
cell_type4_34	cell_type4	disease
cell_type4_35	cell_type4	disease
cell_type4_36	cell_type4	disease
cell_type4_37	cell_type4	disease
cell_type4_38	cell_type4	disease
cell_type4_39	cell_type4	normal
cell_type4_40	cell_type4	disease
cell_type4_41	cell_type4	disease
cell_type4_42	cell_type4	disease
cell_type4_43	cell_type4	disease
cell_type4_44	cell_type4	normal
cell_type4_45	cell_type4	normal
cell_type4_46	cell_type4	disease
cell_type4_47	cell_type4	normal
cell_type4_48	cell_type4	disease
cell_type4_49	cell_type4	normal
cell_type4_50	cell_type4	disease
cell_type4_51	cell_type4	disease
cell_type4_52	cell_type4	disease
cell_type4_53	cell_type4	disease
cell_type4_54	cell_type4	normal
cell_type4_55	cell_type4	disease
cell_type4_56	cell_type4	disease
cell_type4_57	cell_type4	disease
cell_type4_58	cell_type4	normal
cell_type4_59	cell_type4	normal
cell_type4_60	cell_type4	normal
cell_type4_61	cell_type4	disease
cell_type4_62	cell_type4	disease
cell_type4_63	cell_type4	normal
cell_type4_64	cell_type4	normal
cell_type4_65	cell_type4	normal
cell_type4_66	cell_type4	disease
cell_type4_67	cell_type4	disease
cell_type4_68	cell_type4	disease
cell_type4_69	cell_type4	normal
cell_type4_70	cell_type4	normal
cell_type4_71	cell_type4	disease
cell_type4_72	cell_type4	disease
cell_type4_73	cell_type4	disease
cell_type4_74	cell_type4	disease
cell_type4_75	cell_type4	disease
cell_type4_76	cell_type4	disease
cell_type4_77	cell_type4	disease
cell_type4_78	cell_type4	disease
cell_type4_79	cell_type4	disease
cell_type4_80	cell_type4	disease
cell_type4_81	cell_type4	normal
cell_type4_82	cell_type4	normal
cell_type4_83	cell_type4	disease
cell_type4_84	cell_type4	disease
cell_type4_85	cell_type4	disease
cell_type4_86	cell_type4	disease
cell_type4_87	cell_type4	disease
cell_type4_88	cell_type4	disease
cell_type4_89	cell_type4	normal
cell_type4_90	cell_type4	disease
cell_type4_91	cell_type4	normal
cell_type4_92	cell_type4	disease
cell_type4_93	cell_type4	disease
cell_type4_94	cell_type4	disease
cell_type4_95	cell_type4	normal
cell_type4_96	cell_type4	disease
cell_type4_97	cell_type4	disease
cell_type4_98	cell_type4	disease
cell_type4_99	cell_type4	disease
cell_type4_100	cell_type4	normal
cell_type4_101	cell_type4	disease
cell_type4_102	cell_type4	disease
cell_type4_103	cell_type4	disease
cell_type4_104	cell_type4	disease
cell_type4_105	cell_type4	normal
cell_type4_106	cell_type4	disease
cell_type4_107	cell_type4	disease
cell_type4_108	cell_type4	disease
cell_type4_109	cell_type4	disease
cell_type4_110	cell_type4	normal
cell_type4_111	cell_type4	disease
cell_type4_112	cell_type4	disease
cell_type4_113	cell_type4	disease
cell_type4_114	cell_type4	disease
cell_type4_115	cell_type4	disease
cell_type4_116	cell_type4	disease
cell_type4_117	cell_type4	disease
cell_type4_118	cell_type4	disease
cell_type4_119	cell_type4	disease
cell_type4_120	cell_type4	disease
cell_type4_121	cell_type4	disease
cell_type4_122	cell_type4	normal
cell_type4_123	cell_type4	disease
cell_type4_124	cell_type4	disease
cell_type4_125	cell_type4	disease
cell_type4_126	cell_type4	disease
cell_type4_127	cell_type4	normal
cell_type4_128	cell_type4	normal
cell_type4_129	cell_type4	disease
cell_type4_130	cell_type4	disease
cell_type4_131	cell_type4	disease
cell_type4_132	cell_type4	disease
cell_type4_133	cell_type4	normal
cell_type4_134	cell_type4	disease
cell_type4_135	cell_type4	disease
cell_type4_136	cell_type4	disease
cell_type4_137	cell_type4	disease
cell_type4_138	cell_type4	normal
cell_type4_139	cell_type4	normal
cell_type4_140	cell_type4	normal
cell_type4_141	cell_type4	normal
cell_type4_142	cell_type4	normal
cell_type4_143	cell_type4	normal
cell_type4_144	cell_type4	normal
cell_type4_145	cell_type4	disease
cell_type4_146	cell_type4	normal
cell_type4_147	cell_type4	disease
cell_type4_148	cell_type4	disease
cell_type4_149	cell_type4	disease
cell_type4_150	cell_type4	normal
cell_type4_151	cell_type4	disease
cell_type4_152	cell_type4	disease
cell_type4_153	cell_type4	disease
cell_type4_154	cell_type4	disease
cell_type4_155	cell_type4	disease
cell_type4_156	cell_type4	disease
cell_type4_157	cell_type4	normal
cell_type4_158	cell_type4	disease
cell_type4_159	cell_type4	disease
cell_type4_160	cell_type4	normal
cell_type4_161	cell_type4	normal
cell_type4_162	cell_type4	disease
cell_type4_163	cell_type4	normal
cell_type4_164	cell_type4	disease
cell_type4_165	cell_type4	normal
cell_type4_166	cell_type4	disease
cell_type4_167	cell_type4	disease
cell_type4_168	cell_type4	disease
cell_type4_169	cell_type4	disease
cell_type4_170	cell_type4	disease
cell_type4_171	cell_type4	normal
cell_type4_172	cell_type4	disease
cell_type4_173	cell_type4	disease
cell_type4_174	cell_type4	disease
cell_type4_175	cell_type4	disease
cell_type4_176	cell_type4	normal
cell_type4_177	cell_type4	disease
cell_type4_178	cell_type4	disease
cell_type4_179	cell_type4	disease
cell_type4_180	cell_type4	disease
cell_type4_181	cell_type4	disease
cell_type4_182	cell_type4	disease
cell_type4_183	cell_type4	disease
cell_type4_184	cell_type4	disease
cell_type4_185	cell_type4	disease
cell_type4_186	cell_type4	normal
cell_type4_187	cell_type4	disease
cell_type4_188	cell_type4	disease
cell_type4_189	cell_type4	disease
cell_type4_190	cell_type4	disease
cell_type4_191	cell_type4	disease
cell_type4_192	cell_type4	disease
cell_type4_193	cell_type4	normal
cell_type4_194	cell_type4	disease
cell_type4_195	cell_type4	disease
cell_type4_196	cell_type4	disease
cell_type4_197	cell_type4	normal
cell_type4_198	cell_type4	normal
cell_type4_199	cell_type4	disease
cell_type4_200	cell_type4	disease
cell_type4_201	cell_type4	disease
cell_type4_202	cell_type4	disease
cell_type4_203	cell_type4	disease
cell_type4_204	cell_type4	normal
cell_type4_205	cell_type4	disease
cell_type4_206	cell_type4	disease
cell_type4_207	cell_type4	disease
cell_type4_208	cell_type4	disease
cell_type4_209	cell_type4	disease
cell_type4_210	cell_type4	disease
cell_type4_211	cell_type4	normal
cell_type4_212	cell_type4	disease
cell_type4_213	cell_type4	normal
cell_type4_214	cell_type4	disease
cell_type4_215	cell_type4	disease
cell_type4_216	cell_type4	normal
cell_type4_217	cell_type4	normal
cell_type4_218	cell_type4	disease
cell_type4_219	cell_type4	disease
cell_type4_220	cell_type4	normal
cell_type4_221	cell_type4	disease
cell_type4_222	cell_type4	disease
cell_type4_223	cell_type4	disease
cell_type4_224	cell_type4	disease
cell_type4_225	cell_type4	disease
cell_type4_226	cell_type4	disease
cell_type4_227	cell_type4	disease
cell_type4_228	cell_type4	disease
cell_type4_229	cell_type4	normal
cell_type4_230	cell_type4	disease
cell_type4_231	cell_type4	disease
cell_type4_232	cell_type4	disease
cell_type4_233	cell_type4	disease
cell_type4_234	cell_type4	disease
cell_type4_235	cell_type4	disease
cell_type4_236	cell_type4	normal
cell_type4_237	cell_type4	normal
cell_type4_238	cell_type4	disease
cell_type4_239	cell_type4	normal
cell_type4_240	cell_type4	normal
cell_type4_241	cell_type4	disease
cell_type4_242	cell_type4	disease
cell_type4_243	cell_type4	disease
cell_type4_244	cell_type4	disease
cell_type4_245	cell_type4	disease
cell_type4_246	cell_type4	disease
cell_type4_247	cell_type4	disease
cell_type4_248	cell_type4	normal
cell_type4_249	cell_type4	normal
cell_type4_250	cell_type4	disease
cell_type4_251	cell_type4	normal
cell_type4_252	cell_type4	normal
cell_type4_253	cell_type4	disease
cell_type4_254	cell_type4	disease
cell_type4_255	cell_type4	disease
cell_type4_256	cell_type4	normal
cell_type4_257	cell_type4	disease
cell_type4_258	cell_type4	normal
cell_type4_259	cell_type4	normal
cell_type4_260	cell_type4	disease
cell_type4_261	cell_type4	disease
cell_type4_262	cell_type4	normal
cell_type4_263	cell_type4	disease
cell_type4_264	cell_type4	disease
cell_type4_265	cell_type4	disease
cell_type4_266	cell_type4	disease
cell_type4_267	cell_type4	disease
cell_type4_268	cell_type4	disease
cell_type4_269	cell_type4	normal
cell_type4_270	cell_type4	disease
cell_type4_271	cell_type4	disease
cell_type4_272	cell_type4	disease
cell_type4_273	cell_type4	disease
cell_type4_274	cell_type4	normal
cell_type4_275	cell_type4	normal
cell_type4_276	cell_type4	normal
cell_type4_277	cell_type4	disease
cell_type4_278	cell_type4	disease
cell_type4_279	cell_type4	normal
cell_type4_280	cell_type4	normal
cell_type4_281	cell_type4	disease
cell_type4_282	cell_type4	disease
cell_type4_283	cell_type4	disease
cell_type4_284	cell_type4	disease
cell_type4_285	cell_type4	normal
cell_type4_286	cell_type4	normal
cell_type4_287	cell_type4	normal
cell_type4_288	cell_type4	disease
cell_type4_289	cell_type4	normal
cell_type4_290	cell_type4	disease
cell_type4_291	cell_type4	normal
cell_type4_292	cell_type4	normal
cell_type4_293	cell_type4	normal
cell_type4_294	cell_type4	normal
cell_type4_295	cell_type4	normal
cell_type4_296	cell_type4	disease
cell_type4_297	cell_type4	disease
cell_type4_298	cell_type4	normal
cell_type4_299	cell_type4	normal
cell_type4_300	cell_type4	normal
cell_type4_301	cell_type4	disease
cell_type4_302	cell_type4	disease
cell_type4_303	cell_type4	normal
cell_type4_304	cell_type4	disease
cell_type4_305	cell_type4	normal
cell_type4_306	cell_type4	normal
cell_type4_307	cell_type4	normal
cell_type4_308	cell_type4	normal
cell_type4_309	cell_type4	disease
cell_type4_310	cell_type4	disease
cell_type4_311	cell_type4	disease
cell_type4_312	cell_type4	disease
cell_type4_313	cell_type4	disease
cell_type4_314	cell_type4	disease
cell_type4_315	cell_type4	disease
cell_type4_316	cell_type4	disease
cell_type4_317	cell_type4	disease
cell_type4_318	cell_type4	disease
cell_type4_319	cell_type4	normal
cell_type4_320	cell_type4	disease
cell_type4_321	cell_type4	disease
cell_type4_322	cell_type4	normal
cell_type4_323	cell_type4	disease
cell_type4_324	cell_type4	disease
cell_type4_325	cell_type4	disease
cell_type4_326	cell_type4	disease
cell_type4_327	cell_type4	normal
cell_type4_328	cell_type4	disease
cell_type4_329	cell_type4	normal
cell_type4_330	cell_type4	normal
cell_type4_331	cell_type4	normal
cell_type4_332	cell_type4	disease
cell_type4_333	cell_type4	normal
cell_type4_334	cell_type4	disease
cell_type4_335	cell_type4	normal
cell_type4_336	cell_type4	disease
cell_type4_337	cell_type4	disease
cell_type4_338	cell_type4	disease
cell_type4_339	cell_type4	disease
cell_type4_340	cell_type4	normal
cell_type4_341	cell_type4	disease
cell_type4_342	cell_type4	normal
cell_type4_343	cell_type4	disease
cell_type4_344	cell_type4	disease
cell_type4_345	cell_type4	disease
cell_type4_346	cell_type4	normal
cell_type4_347	cell_type4	disease
cell_type4_348	cell_type4	disease
cell_type4_349	cell_type4	disease
cell_type4_350	cell_type4	disease
cell_type4_351	cell_type4	normal
cell_type4_352	cell_type4	normal
cell_type4_353	cell_type4	disease
cell_type4_354	cell_type4	disease
cell_type4_355	cell_type4	normal
cell_type4_356	cell_type4	disease
cell_type4_357	cell_type4	normal
cell_type4_358	cell_type4	disease
cell_type4_359	cell_type4	disease
cell_type4_360	cell_type4	normal
cell_type4_361	cell_type4	disease
cell_type4_362	cell_type4	disease
cell_type4_363	cell_type4	disease
cell_type4_364	cell_type4	disease
cell_type4_365	cell_type4	disease
cell_type4_366	cell_type4	disease
cell_type4_367	cell_type4	disease
cell_type4_368	cell_type4	disease
cell_type4_369	cell_type4	disease
cell_type4_370	cell_type4	disease
cell_type4_371	cell_type4	disease
cell_type4_372	cell_type4	disease
cell_type4_373	cell_type4	disease
cell_type4_374	cell_type4	disease
cell_type4_375	cell_type4	normal
cell_type4_376	cell_type4	disease
cell_type4_377	cell_type4	normal
cell_type4_378	cell_type4	disease
cell_type4_379	cell_type4	normal
cell_type4_380	cell_type4	normal
cell_type4_381	cell_type4	normal
cell_type4_382	cell_type4	disease
cell_type4_383	cell_type4	normal
cell_type4_384	cell_type4	disease
cell_type4_385	cell_type4	normal
cell_type4_386	cell_type4	normal
cell_type4_387	cell_type4	normal
cell_type4_388	cell_type4	disease
cell_type4_389	cell_type4	normal
cell_type4_390	cell_type4	disease
cell_type4_391	cell_type4	disease
cell_type4_392	cell_type4	normal
cell_type4_393	cell_type4	disease
cell_type4_394	cell_type4	normal
cell_type4_395	cell_type4	normal
cell_type4_396	cell_type4	normal
cell_type4_397	cell_type4	disease
cell_type4_398	cell_type4	disease
cell_type4_399	cell_type4	disease
cell_type4_400	cell_type4	disease
cell_type4_401	cell_type4	normal
cell_type4_402	cell_type4	disease
cell_type4_403	cell_type4	disease
cell_type4_404	cell_type4	disease
cell_type4_405	cell_type4	disease
cell_type4_406	cell_type4	disease
cell_type4_407	cell_type4	disease
cell_type4_408	cell_type4	normal
cell_type4_409	cell_type4	disease
cell_type4_410	cell_type4	disease
cell_type4_411	cell_type4	disease
cell_type4_412	cell_type4	disease
cell_type4_413	cell_type4	disease
cell_type4_414	cell_type4	disease
cell_type4_415	cell_type4	normal
cell_type4_416	cell_type4	normal
cell_type4_417	cell_type4	disease
cell_type4_418	cell_type4	disease
cell_type4_419	cell_type4	normal
cell_type4_420	cell_type4	disease
cell_type4_421	cell_type4	disease
cell_type4_422	cell_type4	disease
cell_type4_423	cell_type4	disease
cell_type4_424	cell_type4	normal
cell_type4_425	cell_type4	normal
cell_type4_426	cell_type4	disease
cell_type4_427	cell_type4	disease
cell_type4_428	cell_type4	disease
cell_type4_429	cell_type4	disease
cell_type4_430	cell_type4	disease
cell_type4_431	cell_type4	normal
cell_type4_432	cell_type4	disease
cell_type4_433	cell_type4	normal
cell_type4_434	cell_type4	disease
cell_type4_435	cell_type4	disease
cell_type4_436	cell_type4	disease
cell_type4_437	cell_type4	normal
cell_type4_438	cell_type4	disease
cell_type4_439	cell_type4	normal
cell_type4_440	cell_type4	normal
cell_type4_441	cell_type4	normal
cell_type4_442	cell_type4	disease
cell_type4_443	cell_type4	disease
cell_type4_444	cell_type4	disease
cell_type4_445	cell_type4	disease
cell_type4_446	cell_type4	disease
cell_type4_447	cell_type4	disease
cell_type4_448	cell_type4	normal
cell_type4_449	cell_type4	normal
cell_type4_450	cell_type4	disease
cell_type4_451	cell_type4	disease
cell_type4_452	cell_type4	disease
cell_type4_453	cell_type4	disease
cell_type4_454	cell_type4	normal
cell_type4_455	cell_type4	disease
cell_type4_456	cell_type4	normal
cell_type4_457	cell_type4	normal
cell_type4_458	cell_type4	disease
cell_type4_459	cell_type4	disease
cell_type4_460	cell_type4	disease
cell_type4_461	cell_type4	disease
cell_type4_462	cell_type4	normal
cell_type4_463	cell_type4	normal
cell_type4_464	cell_type4	disease
cell_type4_465	cell_type4	disease
cell_type4_466	cell_type4	disease
cell_type4_467	cell_type4	disease
cell_type4_468	cell_type4	disease
cell_type4_469	cell_type4	disease
cell_type4_470	cell_type4	disease
cell_type4_471	cell_type4	disease
cell_type4_472	cell_type4	normal
cell_type4_473	cell_type4	normal
cell_type4_474	cell_type4	disease
cell_type4_475	cell_type4	disease
cell_type4_476	cell_type4	disease
cell_type4_477	cell_type4	normal
cell_type4_478	cell_type4	disease
cell_type4_479	cell_type4	disease
cell_type4_480	cell_type4	disease
cell_type4_481	cell_type4	normal
cell_type4_482	cell_type4	normal
cell_type4_483	cell_type4	disease
cell_type4_484	cell_type4	disease
cell_type4_485	cell_type4	disease
cell_type4_486	cell_type4	disease
cell_type4_487	cell_type4	disease
cell_type4_488	cell_type4	disease
cell_type4_489	cell_type4	disease
cell_type4_490	cell_type4	disease
cell_type4_491	cell_type4	normal
cell_type4_492	cell_type4	disease
cell_type4_493	cell_type4	disease
cell_type4_494	cell_type4	disease
cell_type4_495	cell_type4	disease
cell_type4_496	cell_type4	disease
cell_type4_497	cell_type4	normal
cell_type4_498	cell_type4	disease
cell_type4_499	cell_type4	disease
cell_type4_500	cell_type4	disease
cell_type4_501	cell_type4	normal
cell_type4_502	cell_type4	disease
cell_type4_503	cell_type4	disease
cell_type4_504	cell_type4	normal
cell_type4_505	cell_type4	disease
cell_type4_506	cell_type4	normal
cell_type4_507	cell_type4	disease
cell_type4_508	cell_type4	disease
cell_type4_509	cell_type4	disease
cell_type4_510	cell_type4	normal
cell_type4_511	cell_type4	disease
cell_type4_512	cell_type4	normal
cell_type4_513	cell_type4	normal
cell_type4_514	cell_type4	disease
cell_type4_515	cell_type4	disease
cell_type4_516	cell_type4	disease
cell_type4_517	cell_type4	disease
cell_type4_518	cell_type4	disease
cell_type4_519	cell_type4	disease
cell_type4_520	cell_type4	disease
cell_type4_521	cell_type4	disease
cell_type4_522	cell_type4	disease
cell_type4_523	cell_type4	disease
cell_type4_524	cell_type4	disease
cell_type4_525	cell_type4	disease
cell_type4_526	cell_type4	disease
cell_type4_527	cell_type4	normal
cell_type4_528	cell_type4	disease
cell_type4_529	cell_type4	normal
cell_type4_530	cell_type4	normal
cell_type4_531	cell_type4	disease
cell_type4_532	cell_type4	disease
cell_type4_533	cell_type4	disease
cell_type4_534	cell_type4	disease
cell_type4_535	cell_type4	disease
cell_type4_536	cell_type4	disease
cell_type4_537	cell_type4	disease
cell_type4_538	cell_type4	disease
cell_type4_539	cell_type4	disease
cell_type4_540	cell_type4	disease
cell_type4_541	cell_type4	disease
cell_type4_542	cell_type4	disease
cell_type4_543	cell_type4	disease
cell_type4_544	cell_type4	disease
cell_type4_545	cell_type4	normal
cell_type4_546	cell_type4	normal
cell_type4_547	cell_type4	normal
cell_type4_548	cell_type4	normal
cell_type4_549	cell_type4	disease
cell_type4_550	cell_type4	disease
cell_type4_551	cell_type4	normal
cell_type4_552	cell_type4	disease
cell_type4_553	cell_type4	normal
cell_type4_554	cell_type4	disease
cell_type4_555	cell_type4	normal
cell_type4_556	cell_type4	normal
cell_type4_557	cell_type4	disease
cell_type4_558	cell_type4	disease
cell_type4_559	cell_type4	disease
cell_type4_560	cell_type4	disease
cell_type4_561	cell_type4	normal
cell_type4_562	cell_type4	disease
cell_type4_563	cell_type4	disease
cell_type4_564	cell_type4	disease
cell_type4_565	cell_type4	disease
cell_type4_566	cell_type4	normal
cell_type4_567	cell_type4	disease
cell_type4_568	cell_type4	normal
cell_type5_1	cell_type5	disease
cell_type5_2	cell_type5	disease
cell_type5_3	cell_type5	disease
cell_type5_4	cell_type5	disease
cell_type5_5	cell_type5	disease
cell_type5_6	cell_type5	normal
cell_type5_7	cell_type5	disease
cell_type5_8	cell_type5	normal
cell_type5_9	cell_type5	normal
cell_type5_10	cell_type5	disease
cell_type5_11	cell_type5	disease
cell_type5_12	cell_type5	disease
cell_type5_13	cell_type5	disease
cell_type5_14	cell_type5	disease
cell_type5_15	cell_type5	normal
cell_type5_16	cell_type5	disease
cell_type5_17	cell_type5	disease
cell_type5_18	cell_type5	disease
cell_type5_19	cell_type5	disease
cell_type5_20	cell_type5	disease
cell_type5_21	cell_type5	normal
cell_type5_22	cell_type5	disease
cell_type5_23	cell_type5	normal
cell_type5_24	cell_type5	disease
cell_type5_25	cell_type5	normal
cell_type5_26	cell_type5	normal
cell_type5_27	cell_type5	disease
cell_type5_28	cell_type5	normal
cell_type5_29	cell_type5	disease
cell_type5_30	cell_type5	normal
cell_type5_31	cell_type5	disease
cell_type5_32	cell_type5	disease
cell_type5_33	cell_type5	disease
cell_type5_34	cell_type5	disease
cell_type5_35	cell_type5	normal
cell_type5_36	cell_type5	normal
cell_type5_37	cell_type5	disease
cell_type5_38	cell_type5	disease
cell_type5_39	cell_type5	disease
cell_type5_40	cell_type5	disease
cell_type5_41	cell_type5	disease
cell_type5_42	cell_type5	disease
cell_type5_43	cell_type5	normal
cell_type5_44	cell_type5	disease
cell_type5_45	cell_type5	disease
cell_type5_46	cell_type5	disease
cell_type5_47	cell_type5	normal
cell_type5_48	cell_type5	disease
cell_type5_49	cell_type5	disease
cell_type5_50	cell_type5	normal
cell_type5_51	cell_type5	disease
cell_type5_52	cell_type5	disease
cell_type5_53	cell_type5	disease
cell_type5_54	cell_type5	normal
cell_type5_55	cell_type5	normal
cell_type5_56	cell_type5	disease
cell_type5_57	cell_type5	normal
cell_type5_58	cell_type5	disease
cell_type5_59	cell_type5	normal
cell_type5_60	cell_type5	disease
cell_type5_61	cell_type5	disease
cell_type5_62	cell_type5	normal
cell_type5_63	cell_type5	disease
cell_type5_64	cell_type5	disease
cell_type5_65	cell_type5	disease
cell_type5_66	cell_type5	disease
cell_type5_67	cell_type5	disease
cell_type5_68	cell_type5	normal
cell_type5_69	cell_type5	disease
cell_type5_70	cell_type5	disease
cell_type5_71	cell_type5	normal
cell_type5_72	cell_type5	normal
cell_type5_73	cell_type5	normal
cell_type5_74	cell_type5	disease
cell_type5_75	cell_type5	disease
cell_type5_76	cell_type5	normal
cell_type5_77	cell_type5	normal
cell_type5_78	cell_type5	disease
cell_type5_79	cell_type5	disease
cell_type5_80	cell_type5	disease
cell_type5_81	cell_type5	disease
cell_type5_82	cell_type5	disease
cell_type5_83	cell_type5	normal
cell_type5_84	cell_type5	disease
cell_type5_85	cell_type5	disease
cell_type5_86	cell_type5	normal
cell_type5_87	cell_type5	normal
cell_type5_88	cell_type5	disease
cell_type5_89	cell_type5	disease
cell_type5_90	cell_type5	disease
cell_type5_91	cell_type5	disease
cell_type5_92	cell_type5	disease
cell_type5_93	cell_type5	disease
cell_type5_94	cell_type5	normal
cell_type5_95	cell_type5	disease
cell_type5_96	cell_type5	disease
cell_type5_97	cell_type5	disease
cell_type5_98	cell_type5	normal
cell_type5_99	cell_type5	disease
cell_type5_100	cell_type5	normal
cell_type5_101	cell_type5	disease
cell_type5_102	cell_type5	normal
cell_type5_103	cell_type5	disease
cell_type5_104	cell_type5	disease
cell_type5_105	cell_type5	normal
cell_type5_106	cell_type5	disease
cell_type5_107	cell_type5	disease
cell_type5_108	cell_type5	disease
cell_type5_109	cell_type5	disease
cell_type5_110	cell_type5	normal
cell_type5_111	cell_type5	disease
cell_type5_112	cell_type5	disease
cell_type5_113	cell_type5	disease
cell_type5_114	cell_type5	normal
cell_type5_115	cell_type5	normal
cell_type5_116	cell_type5	normal
cell_type5_117	cell_type5	normal
cell_type5_118	cell_type5	disease
cell_type5_119	cell_type5	disease
cell_type5_120	cell_type5	disease
cell_type5_121	cell_type5	disease
cell_type5_122	cell_type5	disease
cell_type5_123	cell_type5	normal
cell_type5_124	cell_type5	disease
cell_type5_125	cell_type5	disease
cell_type5_126	cell_type5	disease
cell_type5_127	cell_type5	normal
cell_type5_128	cell_type5	disease
cell_type5_129	cell_type5	normal
cell_type5_130	cell_type5	disease
cell_type5_131	cell_type5	disease
cell_type5_132	cell_type5	normal
